"","school","year","coverage","participation","district","grades","enrolled","mn.class.size","per.Not.reported","per.NativeAmer","per.Asian","per.PI","per.Filipino","per.Hispanic","per.AfAmer","per.White","per.Twoplus","per.not_hsg","per.hsg","per.some_col","per.col_grad","per.grad_sch","per.englearn","per.freelunch","API13","API12","mean.cst.ela","per.adv.ela","per.basic.ela","mean.cst.m","per.adv.m","per.basic.m"
"1","Allendale Elementary","2014-15",0.626016260162602,0.08,"Oakland Unified","K-5",425,26.5625,0.705882352941177,0.235294117647059,9.41176470588235,1.41176470588235,3.52941176470588,43.7647058823529,36.4705882352941,2.82352941176471,1.64705882352941,27,33,27,12,3,41.1764705882353,79.91,663,725,329.625,8.75,38.5,333.425,10.75,29
"2","Bella Vista Elementary","2014-15",0.657718120805369,0.25,"Oakland Unified","K-5",525,21.875,0.19047619047619,0.19047619047619,46.0952380952381,0.571428571428571,0.952380952380952,21.9047619047619,23.2380952380952,5.33333333333333,1.52380952380952,24,31,24,15,5,42.2857142857143,75.33,813,849,369.825,29.75,22.75,422.575,53.5,12
"3","Brookfield Elementary","2014-15",0.653061224489796,0.18,"Oakland Unified","K-5",367,16.6818181818182,0.272479564032698,0.272479564032698,3.54223433242507,3.26975476839237,0.544959128065395,64.3051771117166,25.3405994550409,1.08991825613079,1.36239782016349,41,33,15,8,2,58.0381471389646,66.21,687,738,329.675,8.25,44,351.575,18.25,22.5
"4","Burckhalter Elementary","2014-15",0.5125,0.1,"Oakland Unified","K-5",298,22.9230769230769,1.34228187919463,0,7.04697986577181,2.68456375838926,0.671140939597315,11.744966442953,68.7919463087248,3.35570469798658,4.36241610738255,12,22,40,20,6,11.744966442953,71.81,769,808,358.95,22.5,30.75,390.775,39,21
"5","Carl B. Munck Elementary","2014-15",0.653846153846154,0.11,"Oakland Unified","K-5",321,26.6666666666667,0.623052959501558,4.98442367601246,3.42679127725857,2.49221183800623,0.934579439252336,17.4454828660436,58.2554517133956,6.23052959501558,5.60747663551402,6,16,38,23,17,9.65732087227414,58.57,801,820,362.175,26.5,27.75,397.225,40,19.25
"6","Community United Elementary","2014-15",0.586387434554974,0.21,"Oakland Unified","K-5",396,24.75,1.01010101010101,0.252525252525253,2.77777777777778,0.505050505050505,0,68.9393939393939,24.7474747474747,1.01010101010101,0.757575757575758,62,23,10,2,3,64.1414141414141,100,700,700,323.875,9.75,35.75,343.675,16,31.25
"7","East Oakland Pride Elementary","2014-15",0.465909090909091,0.19,"Oakland Unified","K-5",472,24.8421052631579,0.847457627118644,0.211864406779661,1.0593220338983,1.48305084745763,0,69.0677966101695,26.0593220338983,1.0593220338983,0.211864406779661,50,26,14,8,2,60.5932203389831,100,668,660,316.525,8.25,28.75,345.975,19.75,23.25
"8","Emerson Elementary","2014-15",0.75,0.13,"Oakland Unified","K-5",324,23.1428571428571,1.23456790123457,0.617283950617284,6.17283950617284,0.925925925925926,1.85185185185185,20.679012345679,59.2592592592593,5.8641975308642,3.39506172839506,14,28,32,17,10,14.1975308641975,68.83,696,759,336.875,12.25,27.75,347.25,19,28.25
"9","EnCompass Academy Elementary","2014-15",0.543859649122807,0.2,"Oakland Unified","K-5",312,26,0.32051282051282,0.641025641025641,1.28205128205128,1.28205128205128,0,72.7564102564102,20.1923076923077,2.88461538461538,0.641025641025641,44,30,15,7,4,58.974358974359,100,746,805,348.4,14.5,37,382.9,32,21
"10","Franklin Elementary","2014-15",0.579124579124579,0.27,"Oakland Unified","K-5",770,22,0.649350649350649,0.649350649350649,54.2857142857143,0.779220779220779,0.38961038961039,27.6623376623377,11.4285714285714,2.85714285714286,1.2987012987013,34,30,22,11,3,57.9220779220779,76.82,814,814,351.55,22,28.25,381.075,32.75,16.5
